,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,label,knee_displacement_ratio,hip_displacement_ratio,shoulder_descent_ratio
4376,59.17534759278548,55.80582910226938,89.0983791560301,89.66468608198572,2.0,-1.3648159432468074,-2.0821394337128627,0.4821460325716796
4377,158.3996007597487,157.0170489245326,170.53801014399176,171.707993974336,0.0,-2.244737989532722,-2.134965840940418,0.9816478571237331
4378,77.16495736830798,81.80770250474067,121.51056189326702,118.0520388765523,2.0,-2.2903669140740357,-1.5883632358629232,0.6401927742654647
4379,88.81207948983798,90.90117721397093,99.43515813433189,94.08022583446072,1.0,-2.3965918200552947,-1.965474247583474,0.7095019647905346
4380,98.6094516206743,99.06321760576404,125.39890010434284,126.38945191623392,2.0,-1.286387381379541,-1.907935449848047,0.7612484311819409
4381,46.78170166747954,53.363044041723946,84.09934911474541,82.97105772557899,2.0,-2.4448352648378724,-1.6984925346642012,0.4264286546119203
4382,161.85138883535814,101.4561303067356,177.63129795091464,176.52164358848592,3.0,-3.0141890591094183,-2.4885555589926653,0.9254975107475304
4383,152.8111301521487,164.8291290123859,177.96233670316528,175.73524003119562,3.0,-3.8340564489668383,-3.746415557044591,0.998365408265806
4384,137.53644145771378,178.8048909115316,179.80950596438365,179.7983015024519,3.0,-2.527600065088316,-2.9568298440629466,0.985210537639052
4385,78.87760847724977,77.04049153868655,116.96222165568052,53.59692548502184,3.0,-1.5109648985854922,-2.57520856566648,0.6385790037265692
4386,110.19095650126808,150.68390629456815,178.7753250601171,178.49931877637542,3.0,-2.519854818307237,-3.312129874188781,0.9179752978596504
4387,40.52429582507183,35.280942489526126,83.30105604107871,83.6496500143385,2.0,-1.305733254573729,-2.1691812031088475,0.3499366582807968
4388,115.602988144478,116.67784229824773,120.57758342205858,117.96673451054257,1.0,-2.351051705944464,-2.048600122421949,0.8515557304062594
4389,102.33774152182411,128.6902995988047,137.66352243927565,126.33127170529436,3.0,-6.865357538355222,-5.861449246428525,0.8573344919235875
4390,135.9944598831981,136.08057029047467,146.775946606934,147.2962219320398,0.0,-2.2665345475152185,-2.0438261928336967,0.9294980448711015
4391,119.68322984651516,170.96998055461907,179.77132370774285,175.5084946710104,3.0,-2.9958761129040674,-3.426329632878774,0.9586910010910572
4392,63.47397813259624,66.30243005612482,103.48509111425236,100.33043831330372,2.0,-2.344472983489351,-1.644741594633897,0.5368550029308802
