left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,label,torso_straightness,arms_straightness
157.31892457760407,149.98243996874362,107.48954253687373,108.39482278293079,120.41068906994161,124.897870391479,2.0,-1.0327737621635518,-1.7577288029636278
157.41498539366017,143.75287994230175,115.13266611224383,108.86876048330906,123.48663762014843,119.90475986548871,2.0,-1.405555878150507,-0.7273645479246569
157.3271577911151,148.2968575968123,108.01543950877682,107.6969497448253,120.06838054722051,124.61410481853997,2.0,-1.0413104105444373,-1.7637355112743585
157.55695890397186,144.49383562465647,115.36846720927477,109.0947940516387,123.30917415192746,120.09555167253595,2.0,-1.4029607296273265,-0.7262760436914308
157.67144469649762,146.48460751458558,108.14394793623227,108.29525962801596,120.215244554092,123.83854134344132,2.0,-1.0544072650443488,-1.7658960168126363
157.15861122346803,144.158501624171,115.24927745140266,108.97967193847957,123.35186234653096,120.43190321490454,2.0,-1.401027613329486,-0.7301214763981989
157.31414168744666,145.48328040739057,108.309841650275,107.7142388888021,120.00676617710077,123.7896797022731,2.0,-1.0411411239941155,-1.7725544098864563
156.77751917442342,144.1249247132351,115.0469101713623,109.22767673188766,123.45580115845887,120.40319109455798,2.0,-1.400109615504694,-0.7323167009657123
153.01151239443223,145.78891951907553,108.49133887512231,107.81021694953631,119.15974702723467,122.83854287180823,2.0,-1.035062516192967,-1.783019517956025
156.90169158052828,144.52954356679854,115.88474982879153,109.86500706334415,122.80477400513219,120.1087029464183,2.0,-1.397300816642639,-0.7409117029343657
151.18547519215295,144.74462790541455,107.50907003841469,107.36854086390875,119.11081848608971,122.72927619632779,2.0,-1.026679448186421,-1.8003850108436534
156.4278677714181,143.69405019040835,115.61226943462111,108.93958401941907,123.54460217769909,121.16185329855278,2.0,-1.402743020897233,-0.739327937976477
150.62014489943988,143.315904650884,106.4300387781901,107.63774203931224,119.23842269467521,122.66667120143984,2.0,-1.0195613837286683,-1.7981686620738313
155.70754720924333,144.61258613810907,115.85073837947299,110.01075293404053,123.63127856502763,121.01183934530899,2.0,-1.4075635798752646,-0.744234250900466
154.86910908758531,148.6509955418753,107.63740597721232,109.7450624962279,119.81490390496793,122.91639233740717,2.0,-1.030004468538849,-1.8169028505351745
156.78744431478412,145.67731549483622,116.68052101128679,110.57607324908349,123.7795162419762,121.6101947302307,2.0,-1.4114892064850815,-0.7724058996951331
155.55266315286332,147.36115485570883,107.90480101108542,112.57280642197229,119.83880436655485,121.60545237254193,2.0,-1.0511163336188363,-1.8545413762994762
157.27154063029062,146.45835070685806,115.8391537994473,109.93336787315353,124.62612922020682,122.24170525158256,2.0,-1.4128490776544653,-0.7946866526834226
148.55412357663,148.41180685812856,104.21471167850945,112.98085735106244,120.42664655161839,121.74514324920989,2.0,-1.037617722559249,-1.8756064537032944
156.37529765970623,143.4358832911251,115.63946374527467,107.2407242885756,124.57653072180506,121.62246623423829,2.0,-1.413530045124888,-0.8342892043610748
144.62135989372786,149.29696907760527,100.6064543686325,115.34667990373796,121.1814205436594,120.85782675886153,2.0,-1.0461501957872439,-1.9789158808139016
155.68067642746357,142.88536703653656,117.70227086603168,106.26359710598746,123.95245253908695,122.87868169514192,2.0,-1.4212735265777476,-0.8658973284607985
135.954798291121,146.13744554005112,96.95644363012731,115.0594927385682,122.40868068826724,120.03770049335041,2.0,-1.0547131556101632,-2.1746188941154627
160.9933545687493,140.01704075263473,119.47487701370258,104.32196998121961,124.28973257546802,123.90318357351148,2.0,-1.423991207573446,-0.8502918926755547
132.2859853155615,145.60641615116603,95.43128007025788,116.28910009932737,122.4263925723545,119.02813716719979,2.0,-1.0667742796847126,-2.2392025244897464
158.74561252356887,139.88008578596998,121.09507071747343,99.1016621195628,124.00871686480501,124.65178583750624,2.0,-1.4295432708296227,-0.916533670975415
132.33204522783413,147.56487949613265,93.96668363716026,119.09820543998521,123.42634978375096,118.89887062286066,2.0,-1.0985318983701582,-2.279691650679819
163.00951982100605,127.67996256158463,122.75971433535335,90.26430346279427,123.89440178867655,124.93983420688512,2.0,-1.4349313373324253,-0.9648983470357084
125.5447815094811,149.4288187658136,87.3634781659508,122.61389504315908,124.21946296118708,117.52898595359989,2.0,-1.1161012317928318,-2.46722941584068
166.6106955521407,124.65560345687058,131.2239485731836,88.25343520948972,119.97606059570141,125.68780866070088,2.0,-1.4406064228496305,-1.0563233767311377
126.04541648640733,151.9407429995364,89.24979242973598,127.30860116311261,121.73811195381413,117.4418511692933,2.0,-1.1250275405102885,-2.4330382029413444
162.22363047625717,138.12165450902913,131.2847091099274,108.27456458516522,119.36592801687252,125.54527169305344,2.0,-1.4507391070438487,-1.1345505451122204
150.07098303725377,152.4276858197609,107.53627591754649,130.36538774076894,121.86043593866631,117.47844408706547,2.0,-1.14710348196816,-2.4344944269017303
157.58195919977294,138.6318299735811,134.73953047596902,107.78251239200893,119.42133225138436,125.86431091966864,2.0,-1.4820264593692711,-1.2404393040148696
149.04185852904513,154.11420142637937,107.34583320453147,135.82959768127753,123.28698717393272,115.94714409340996,2.0,-1.141057313147701,-2.5500439084629614
158.24467984478102,131.95820768926,136.1997485964577,107.36578650796129,119.04066067405795,126.34075520560377,2.0,-1.4882047387017217,-1.3657590526622971
151.5571805624055,157.15419829497966,108.6201305334717,138.1341045685948,123.7694184790535,114.89508996230886,2.0,-1.1493162695873957,-2.762145370480788
137.55720395567178,128.87859813696895,136.43059638728124,103.84598647706933,118.93055839772511,129.09124257162492,2.0,-1.4704202097034875,-1.640780482234458
137.38825065068548,156.06651493508838,103.71135402062914,136.45839516371265,124.2748126160568,115.84416926916542,2.0,-1.1438484654775238,-2.8231605687003025
139.10338902158088,125.86430090546993,134.36066145996529,100.93236947463639,120.06227890631149,130.2213150254552,2.0,-1.4485567585503587,-1.7908823667917306
128.56607338952983,151.28055952333875,101.68485049748807,133.20399465044088,124.76825260767936,117.84701497936449,2.0,-1.1729427703113988,-3.345444644833501
146.42472020185994,125.41961668071241,133.6458668724897,100.81440574126496,120.37468365728668,130.44530364880666,2.0,-1.48440646751925,-1.8745397188717212
